CVE_ID,Severity,Asset_Hostname,Plugin_ID,Plugin_Name,First_Seen,Last_Seen,Remediated_Date,Remediation_Status,CVSS_Score,Asset_OS,Asset_IP,Business_Unit
CVE-2023-8434,Medium,APP-LEG-017,110385,Apache HTTP Server Multiple Vulnerabilities,2024-01-27,2024-03-14,2024-03-17,Remediated,6.6,Windows Server 2022,10.16.68.199,Legal & Compliance
CVE-2024-33191,Medium,SRV-EXEC-017,193678,Microsoft Outlook Elevation of Privilege (NTLM Relay),2024-07-23,2024-08-23,2024-07-28,Remediated,5.3,CentOS 7,10.17.23.208,Executive Office
CVE-2025-37044,Low,APP-SCM-025,153642,Spring Framework Remote Code Execution (Spring4Shell),2025-07-09,2025-09-21,,Open,3.3,Windows 10 Enterprise,10.15.204.93,Supply Chain
CVE-2023-33376,Medium,SRV-FIN-013,34477,SSL Certificate Expiry,2024-01-27,2024-04-28,2024-03-15,Remediated,5.4,VMware ESXi 7.0,10.11.34.157,Finance & Accounting
CVE-2026-48111,Low,DB-FIN-014,161456,Cisco IOS XE Web UI Command Injection,2025-05-05,2025-09-16,2025-08-18,Remediated,3.2,Windows Server 2022,10.11.33.249,Finance & Accounting
CVE-2025-23578,Medium,DB-FIN-015,170678,Barracuda ESG Remote Command Injection,2024-05-11,2024-09-29,,Open,4.5,Windows 10 Enterprise,10.11.111.129,Finance & Accounting
CVE-2023-11790,Low,SRV-IT-021,179890,Progress WS_FTP Server Deserialization Vulnerability,2024-06-14,2024-09-04,,Accepted,1.0,VMware ESXi 7.0,10.10.230.73,Enterprise IT
CVE-2024-41961,Low,SRV-RND-020,184456,JetBrains TeamCity Authentication Bypass,2024-11-06,2025-04-12,2025-03-15,Remediated,2.5,Cisco IOS 15.7,10.14.242.149,Research & Development
CVE-2025-2859,High,APP-SCM-026,42873,SSL Medium Strength Cipher Suites Supported,2024-03-24,2024-04-04,,Accepted,8.5,Red Hat Enterprise Linux 8,10.15.167.54,Supply Chain
CVE-2026-36754,Low,SRV-LEG-018,175234,Confluence Server Remote Code Execution,2024-10-23,2025-04-05,,Accepted,1.9,Ubuntu 22.04 LTS,10.16.77.117,Legal & Compliance
CVE-2024-31437,High,DC-CORE-022,168345,MOVEit Transfer SQL Injection,2024-07-27,2024-10-22,,Open,7.6,Red Hat Enterprise Linux 9,10.10.188.253,Enterprise IT
CVE-2024-7958,Low,SRV-LEG-019,156789,Microsoft Windows Print Spooler Elevation of Privilege (PrintNightmare),2024-11-22,2025-01-22,2024-12-27,Remediated,1.8,Windows 10 Enterprise,10.16.25.13,Legal & Compliance
CVE-2026-11466,Medium,APP-LEG-020,97833,Microsoft Windows SMB Multiple Vulnerabilities,2024-12-01,2025-04-27,,Open,4.6,Windows 10 Enterprise,10.16.128.132,Legal & Compliance
CVE-2022-26771,Medium,LAB-RND-021,10863,SSL Certificate Information,2025-06-01,2025-09-26,,Accepted,4.6,Red Hat Enterprise Linux 9,10.14.13.13,Research & Development
CVE-2022-8044,Medium,WKS-EXEC-018,182123,Atlassian Confluence Data Center Template Injection,2025-03-17,2025-04-20,,Open,6.1,Ubuntu 22.04 LTS,10.17.94.12,Executive Office
CVE-2024-26319,Medium,HMI-MFG-018,184456,JetBrains TeamCity Authentication Bypass,2025-05-31,2025-09-23,,Open,4.8,Cisco IOS 15.7,10.13.175.157,Manufacturing Operations
CVE-2025-23222,High,DB-FIN-016,156789,Microsoft Windows Print Spooler Elevation of Privilege (PrintNightmare),2025-07-25,2025-10-26,,Open,7.4,VMware ESXi 7.0,10.11.103.129,Finance & Accounting
CVE-2025-35034,Critical,DC-CORE-023,148231,Apache Log4j Remote Code Execution (Log4Shell),2025-04-12,2025-05-20,,Open,9.5,Red Hat Enterprise Linux 9,10.10.239.157,Enterprise IT
CVE-2024-34404,Medium,APP-LEG-021,189012,Juniper Networks Junos OS Remote Code Execution,2025-06-29,2025-11-01,,Open,4.9,Windows Server 2019,10.16.95.85,Legal & Compliance
CVE-2025-18401,Low,APP-LEG-022,10863,SSL Certificate Information,2025-11-02,2025-12-30,,Open,2.3,Windows 10 Enterprise,10.16.135.162,Legal & Compliance
CVE-2022-46909,Low,SRV-LEG-023,97833,Microsoft Windows SMB Multiple Vulnerabilities,2024-04-22,2024-06-09,2024-06-02,Remediated,1.7,Ubuntu 22.04 LTS,10.16.177.53,Legal & Compliance
CVE-2024-37758,Medium,SRV-EXEC-019,34477,SSL Certificate Expiry,2024-11-28,2025-05-16,2025-03-05,Remediated,4.9,Windows 10 Enterprise,10.17.118.234,Executive Office
CVE-2025-13600,Medium,APP-SCM-027,100871,Microsoft Windows SMBv1 Multiple Vulnerabilities,2024-09-09,2024-11-19,2024-10-08,Remediated,6.7,Red Hat Enterprise Linux 8,10.15.198.74,Supply Chain
CVE-2024-48294,Low,WKS-EXEC-020,172901,Ivanti Connect Secure Authentication Bypass,2024-10-07,2024-12-19,2025-01-02,Remediated,2.2,Ubuntu 22.04 LTS,10.17.210.89,Executive Office
CVE-2024-47801,Low,APP-HR-015,42873,SSL Medium Strength Cipher Suites Supported,2024-03-21,2024-06-17,,Accepted,2.6,CentOS 7,10.12.55.52,Human Resources
CVE-2023-41349,Low,DEV-RND-022,110385,Apache HTTP Server Multiple Vulnerabilities,2026-01-28,2026-03-06,2026-02-01,Remediated,2.6,VMware ESXi 7.0,10.14.58.164,Research & Development
CVE-2025-7589,Medium,DB-FIN-017,148231,Apache Log4j Remote Code Execution (Log4Shell),2025-11-28,2026-03-06,2026-02-07,Remediated,6.8,Windows 10 Enterprise,10.11.105.168,Finance & Accounting
CVE-2025-19824,Low,WKS-EXEC-021,56984,SSL / TLS Versions Supported,2024-11-24,2025-02-05,,Open,3.6,Windows Server 2022,10.17.167.147,Executive Office
CVE-2026-12520,Medium,DC-CORE-024,163789,Fortinet FortiOS SSL-VPN Remote Code Execution,2024-02-07,2024-05-18,,Open,4.5,Red Hat Enterprise Linux 8,10.10.225.10,Enterprise IT
CVE-2024-43029,Critical,DB-FIN-018,125835,OpenSSL Multiple Vulnerabilities,2025-07-10,2025-11-21,2025-08-14,Remediated,9.9,CentOS 7,10.11.70.50,Finance & Accounting
CVE-2025-48094,Low,SRV-SCM-028,170678,Barracuda ESG Remote Command Injection,2024-07-09,2024-07-12,,Open,3.1,Cisco IOS 15.7,10.15.173.194,Supply Chain
CVE-2024-27269,High,APP-LEG-024,177567,Zimbra Collaboration Suite Command Injection,2025-11-16,2025-11-28,2025-11-25,Remediated,7.9,Windows 11 Enterprise,10.16.2.67,Legal & Compliance
CVE-2024-48374,Medium,WKS-EXEC-022,148231,Apache Log4j Remote Code Execution (Log4Shell),2025-08-09,2025-08-11,2025-09-02,Remediated,6.0,Windows Server 2019,10.17.171.31,Executive Office
CVE-2026-47108,Medium,APP-HR-016,177567,Zimbra Collaboration Suite Command Injection,2024-11-14,2025-05-09,2025-01-29,Remediated,5.1,Windows 11 Enterprise,10.12.57.246,Human Resources
CVE-2024-47002,High,APP-HR-017,191345,F5 BIG-IP Configuration Utility Authentication Bypass,2025-07-16,2025-11-13,,Open,8.5,Windows 11 Enterprise,10.12.196.64,Human Resources
CVE-2024-24709,Low,APP-FIN-019,168345,MOVEit Transfer SQL Injection,2024-03-20,2024-08-11,2024-08-08,Remediated,3.5,Windows 11 Enterprise,10.11.147.138,Finance & Accounting
CVE-2023-14461,High,APP-SCM-029,168345,MOVEit Transfer SQL Injection,2026-01-04,2026-03-07,2026-03-11,Remediated,7.8,Windows Server 2019,10.15.117.34,Supply Chain
CVE-2024-21196,Medium,SRV-EXEC-023,184456,JetBrains TeamCity Authentication Bypass,2026-01-10,2026-01-12,2026-01-11,Remediated,6.2,Cisco IOS 15.7,10.17.19.12,Executive Office
CVE-2026-5523,Medium,APP-FIN-020,57582,SSL Self-Signed Certificate,2025-04-28,2025-05-06,2025-05-10,Remediated,6.2,Ubuntu 22.04 LTS,10.11.96.229,Finance & Accounting
CVE-2025-44371,Medium,APP-LEG-025,104743,TLS Version 1.0 Protocol Detection,2025-07-06,2025-08-09,,Open,5.0,Windows 10 Enterprise,10.16.138.101,Legal & Compliance
CVE-2026-31343,Medium,SRV-MFG-019,10863,SSL Certificate Information,2025-11-20,2026-02-20,2026-01-28,Remediated,5.1,Windows 11 Enterprise,10.13.64.118,Manufacturing Operations
CVE-2022-44266,Medium,SRV-RND-023,11219,Nessus SYN Scanner,2025-03-05,2025-08-09,,Open,6.6,Windows Server 2019,10.14.62.53,Research & Development
CVE-2025-4190,High,APP-INT-025,191345,F5 BIG-IP Configuration Utility Authentication Bypass,2024-09-07,2024-09-18,2024-09-22,Remediated,8.0,Windows Server 2019,10.10.36.129,Enterprise IT
CVE-2025-45075,Low,HMI-MFG-020,186789,SolarWinds Access Rights Manager Remote Code Execution,2024-11-24,2025-01-23,2024-12-13,Remediated,3.8,VMware ESXi 7.0,10.13.57.106,Manufacturing Operations
CVE-2025-4072,Medium,DC-CORE-026,166012,Citrix ADC and Gateway Remote Code Execution,2024-12-18,2025-05-31,,Open,6.3,Red Hat Enterprise Linux 9,10.10.179.107,Enterprise IT
CVE-2025-32032,Medium,LAB-RND-024,22964,Service Detection,2024-09-03,2024-10-30,2024-09-22,Remediated,6.3,Windows Server 2019,10.14.144.106,Research & Development
CVE-2024-22644,Low,APP-HR-018,97833,Microsoft Windows SMB Multiple Vulnerabilities,2025-10-24,2025-11-13,,Accepted,3.3,Windows Server 2022,10.12.138.186,Human Resources
CVE-2025-40513,Low,WEB-DMZ-027,159123,VMware vCenter Server Remote Code Execution,2024-02-10,2024-02-28,2024-03-19,Remediated,2.9,VMware ESXi 7.0,10.10.56.123,Enterprise IT
CVE-2023-13453,Medium,WMS-SCM-030,19506,Nessus Scan Information,2026-01-29,2026-02-05,,Open,6.2,Windows 11 Enterprise,10.15.179.155,Supply Chain
CVE-2024-19550,Low,SRV-LEG-026,184456,JetBrains TeamCity Authentication Bypass,2025-01-24,2025-05-23,2025-04-26,Remediated,1.3,Red Hat Enterprise Linux 9,10.16.132.226,Legal & Compliance
CVE-2025-21986,Medium,APP-FIN-021,172901,Ivanti Connect Secure Authentication Bypass,2024-07-27,2024-10-29,2024-08-02,Remediated,5.6,Windows 11 Enterprise,10.11.190.38,Finance & Accounting
CVE-2023-16074,Critical,APP-LEG-027,35291,SSL Certificate Signed Using Weak Hashing Algorithm,2025-01-23,2025-06-17,,Open,9.5,Red Hat Enterprise Linux 9,10.16.66.196,Legal & Compliance
CVE-2025-24080,Low,WKS-EXEC-024,20007,SSL Version 2 and 3 Protocol Detection,2024-06-22,2024-07-27,,Open,2.0,VMware ESXi 7.0,10.17.254.165,Executive Office
CVE-2025-28026,Low,SRV-IT-028,57582,SSL Self-Signed Certificate,2024-05-20,2024-10-28,2024-11-18,Remediated,0.7,Windows 11 Enterprise,10.10.130.117,Enterprise IT
CVE-2022-37152,Medium,WKS-EXEC-025,10863,SSL Certificate Information,2025-02-25,2025-02-28,2025-03-15,Remediated,5.6,Red Hat Enterprise Linux 8,10.17.5.129,Executive Office
CVE-2026-35366,Low,SRV-LEG-028,157288,TLS Version 1.1 Protocol Deprecated,2024-06-01,2024-08-01,2024-08-08,Remediated,1.1,Red Hat Enterprise Linux 9,10.16.69.204,Legal & Compliance
CVE-2025-46694,Medium,WMS-SCM-031,170678,Barracuda ESG Remote Command Injection,2024-08-19,2024-11-03,,Open,6.5,Windows Server 2019,10.15.24.104,Supply Chain
CVE-2025-6418,Medium,SRV-EXEC-026,19506,Nessus Scan Information,2025-05-26,2025-09-14,,Open,5.0,Windows Server 2022,10.17.230.136,Executive Office
CVE-2024-4051,Low,PLC-MFG-021,186789,SolarWinds Access Rights Manager Remote Code Execution,2024-03-17,2024-09-08,,Accepted,3.5,Cisco IOS 15.7,10.13.169.9,Manufacturing Operations
CVE-2025-47708,High,SRV-SCM-032,10287,Traceroute Information,2025-02-11,2025-03-02,2025-03-20,Remediated,7.5,Ubuntu 22.04 LTS,10.15.174.230,Supply Chain
CVE-2024-23666,Medium,SRV-LEG-029,104743,TLS Version 1.0 Protocol Detection,2024-02-24,2024-03-20,2024-04-18,Remediated,4.2,Cisco IOS 15.7,10.16.197.158,Legal & Compliance
CVE-2025-30527,Low,APP-LEG-030,10863,SSL Certificate Information,2025-05-17,2025-07-14,2025-07-05,Remediated,1.7,Cisco IOS 15.7,10.16.170.98,Legal & Compliance
